analysis,level,similarity,sem,rf_size,vis_ang,fix_std,num_units
object_completion,EsOs,0.8568786413919595,0.014551799425548679,0.74,3.866184880135131,0.25,95862
object_completion,EsOd,-0.01343991836553778,0.07271908729185948,0.74,3.866184880135131,0.25,95862
object_completion,EdOs,0.34684357288126483,0.027373948343547286,0.74,3.866184880135131,0.25,95862
object_completion,EdOd,-0.3742588295268784,0.005856862298655675,0.74,3.866184880135131,0.25,95862
object_completion,EsUb,,,0.74,3.866184880135131,0.25,95862
object_completion,EsU1,,,0.74,3.866184880135131,0.25,95862
object_completion,EdUb,,,0.74,3.866184880135131,0.25,95862
object_completion,EdU1,,,0.74,3.866184880135131,0.25,95862
occlusion_invariance,EsOs,,,0.74,3.866184880135131,0.25,95862
occlusion_invariance,EsOd,,,0.74,3.866184880135131,0.25,95862
occlusion_invariance,EdOs,,,0.74,3.866184880135131,0.25,95862
occlusion_invariance,EdOd,,,0.74,3.866184880135131,0.25,95862
occlusion_invariance,EsUb,0.8456811619371811,0.0234716670334837,0.74,3.866184880135131,0.25,95862
occlusion_invariance,EsU1,0.4442482755488826,0.059113810176595866,0.74,3.866184880135131,0.25,95862
occlusion_invariance,EdUb,0.008724211985673334,0.021516589376309247,0.74,3.866184880135131,0.25,95862
occlusion_invariance,EdU1,-0.13418627065362906,0.010600762731823598,0.74,3.866184880135131,0.25,95862
object_completion,EsOs,0.8100820574467398,0.02100549100420472,1.11,2.3445762152517156,0.25,101996
object_completion,EsOd,0.15953763554383593,0.06835753885363852,1.11,2.3445762152517156,0.25,101996
object_completion,EdOs,0.2458561469095634,0.026174646904066096,1.11,2.3445762152517156,0.25,101996
object_completion,EdOd,-0.26955600331599555,0.006126060531815968,1.11,2.3445762152517156,0.25,101996
object_completion,EsUb,,,1.11,2.3445762152517156,0.25,101996
object_completion,EsU1,,,1.11,2.3445762152517156,0.25,101996
object_completion,EdUb,,,1.11,2.3445762152517156,0.25,101996
object_completion,EdU1,,,1.11,2.3445762152517156,0.25,101996
occlusion_invariance,EsOs,,,1.11,2.3445762152517156,0.25,101996
occlusion_invariance,EsOd,,,1.11,2.3445762152517156,0.25,101996
occlusion_invariance,EdOs,,,1.11,2.3445762152517156,0.25,101996
occlusion_invariance,EdOd,,,1.11,2.3445762152517156,0.25,101996
occlusion_invariance,EsUb,0.8282125025450838,0.025399776529651936,1.11,2.3445762152517156,0.25,101996
occlusion_invariance,EsU1,0.46715530952233875,0.06138634953442721,1.11,2.3445762152517156,0.25,101996
occlusion_invariance,EdUb,0.00998373277038021,0.022960032875894945,1.11,2.3445762152517156,0.25,101996
occlusion_invariance,EdU1,-0.14439752931330618,0.011747329306113824,1.11,2.3445762152517156,0.25,101996
object_completion,EsOs,0.7604688693425888,0.028103564848596215,1.48,1.6441655512021094,0.25,102689
object_completion,EsOd,0.31865745185077426,0.06072781826737308,1.48,1.6441655512021094,0.25,102689
object_completion,EdOs,0.14954688136147232,0.024479583612829075,1.48,1.6441655512021094,0.25,102689
object_completion,EdOd,-0.17831144400315133,0.011424901986923511,1.48,1.6441655512021094,0.25,102689
object_completion,EsUb,,,1.48,1.6441655512021094,0.25,102689
object_completion,EsU1,,,1.48,1.6441655512021094,0.25,102689
object_completion,EdUb,,,1.48,1.6441655512021094,0.25,102689
object_completion,EdU1,,,1.48,1.6441655512021094,0.25,102689
occlusion_invariance,EsOs,,,1.48,1.6441655512021094,0.25,102689
occlusion_invariance,EsOd,,,1.48,1.6441655512021094,0.25,102689
occlusion_invariance,EdOs,,,1.48,1.6441655512021094,0.25,102689
occlusion_invariance,EdOd,,,1.48,1.6441655512021094,0.25,102689
occlusion_invariance,EsUb,0.8077980459591086,0.028391406310744657,1.48,1.6441655512021094,0.25,102689
occlusion_invariance,EsU1,0.5017110777403485,0.06069143946498417,1.48,1.6441655512021094,0.25,102689
occlusion_invariance,EdUb,-0.00451939195805579,0.020920952230162673,1.48,1.6441655512021094,0.25,102689
occlusion_invariance,EdU1,-0.14598613361560464,0.012121531556462157,1.48,1.6441655512021094,0.25,102689
object_completion,EsOs,0.6570176378876441,0.0418008381582502,2.22,0.9970737470655973,0.25,103505
object_completion,EsOd,0.4722597821862997,0.05204143291249392,2.22,0.9970737470655973,0.25,103505
object_completion,EdOs,0.009633959625307973,0.02133786911045768,2.22,0.9970737470655973,0.25,103505
object_completion,EdOd,-0.10528800558601469,0.01830014260578516,2.22,0.9970737470655973,0.25,103505
object_completion,EsUb,,,2.22,0.9970737470655973,0.25,103505
object_completion,EsU1,,,2.22,0.9970737470655973,0.25,103505
object_completion,EdUb,,,2.22,0.9970737470655973,0.25,103505
object_completion,EdU1,,,2.22,0.9970737470655973,0.25,103505
occlusion_invariance,EsOs,,,2.22,0.9970737470655973,0.25,103505
occlusion_invariance,EsOd,,,2.22,0.9970737470655973,0.25,103505
occlusion_invariance,EdOs,,,2.22,0.9970737470655973,0.25,103505
occlusion_invariance,EdOd,,,2.22,0.9970737470655973,0.25,103505
occlusion_invariance,EsUb,0.7536812576152245,0.037289970606616096,2.22,0.9970737470655973,0.25,103505
occlusion_invariance,EsU1,0.5917567957760911,0.05030632449806432,2.22,0.9970737470655973,0.25,103505
occlusion_invariance,EdUb,-0.06854395973587228,0.015379249407835992,2.22,0.9970737470655973,0.25,103505
occlusion_invariance,EdU1,-0.11012908258792758,0.014835059377475158,2.22,0.9970737470655973,0.25,103505
object_completion,EsOs,0.8086699438085376,0.020379050906299323,0.74,3.866184880135131,0.38,96033
object_completion,EsOd,0.1485303639333268,0.06938507047217335,0.74,3.866184880135131,0.38,96033
object_completion,EdOs,0.2473093297342005,0.02728128611713817,0.74,3.866184880135131,0.38,96033
