analysis,subtype,index,value,rf_size,vis_ang,fix_std,num_units
object_completion,prop,OCI,-0.015684739607589305,0.74,3.866184880135131,0.25,95862
occlusion_invariance,prop,OII,0.5253141438450089,0.74,3.866184880135131,0.25,95862
object_completion,prop,OCI,0.1969400927687193,1.11,2.3445762152517156,0.25,101996
occlusion_invariance,prop,OII,0.5640524721454674,1.11,2.3445762152517156,0.25,101996
object_completion,prop,OCI,0.4190276087517529,1.48,1.6441655512021094,0.25,102689
occlusion_invariance,prop,OII,0.6210847875283737,1.48,1.6441655512021094,0.25,102689
object_completion,prop,OCI,0.7187931570675129,2.22,0.9970737470655973,0.25,103505
occlusion_invariance,prop,OII,0.7851552493802354,2.22,0.9970737470655973,0.25,103505
object_completion,prop,OCI,0.18367241798774356,0.74,3.866184880135131,0.38,96033
occlusion_invariance,prop,OII,0.5754327691660952,0.74,3.866184880135131,0.38,96033
object_completion,prop,OCI,0.3827759667001292,1.11,2.3445762152517156,0.38,102113
occlusion_invariance,prop,OII,0.6015635044622676,1.11,2.3445762152517156,0.38,102113
object_completion,prop,OCI,0.562545271340465,1.48,1.6441655512021094,0.38,102879
occlusion_invariance,prop,OII,0.6429915361941194,1.48,1.6441655512021094,0.38,102879
object_completion,prop,OCI,0.7816512167098395,2.22,0.9970737470655973,0.38,103623
occlusion_invariance,prop,OII,0.7954878917354368,2.22,0.9970737470655973,0.38,103623
object_completion,prop,OCI,0.34670548543136914,0.74,3.866184880135131,0.5,96198
occlusion_invariance,prop,OII,0.6049523928618086,0.74,3.866184880135131,0.5,96198
object_completion,prop,OCI,0.5183582423743268,1.11,2.3445762152517156,0.5,102210
occlusion_invariance,prop,OII,0.6231664746066612,1.11,2.3445762152517156,0.5,102210
object_completion,prop,OCI,0.6601702234252621,1.48,1.6441655512021094,0.5,103132
occlusion_invariance,prop,OII,0.655843946428996,1.48,1.6441655512021094,0.5,103132
object_completion,prop,OCI,0.8220721622831721,2.22,0.9970737470655973,0.5,103764
occlusion_invariance,prop,OII,0.7996368545169882,2.22,0.9970737470655973,0.5,103764
object_completion,prop,OCI,0.555196253021937,0.74,3.866184880135131,0.75,96619
occlusion_invariance,prop,OII,0.6245985088262002,0.74,3.866184880135131,0.75,96619
object_completion,prop,OCI,0.6782081217177014,1.11,2.3445762152517156,0.75,102565
occlusion_invariance,prop,OII,0.6371178669757321,1.11,2.3445762152517156,0.75,102565
object_completion,prop,OCI,0.7672876382321442,1.48,1.6441655512021094,0.75,103500
occlusion_invariance,prop,OII,0.6606784743057635,1.48,1.6441655512021094,0.75,103500
object_completion,prop,OCI,0.8603848499817704,2.22,0.9970737470655973,0.75,103880
occlusion_invariance,prop,OII,0.7989813571570495,2.22,0.9970737470655973,0.75,103880
