rf,vis_ang,fix_std,kernel_size_pix,num_filters,cell_type,sigma_pix,sigma_deg,FWHM_pix,FWHM_deg,amplitude,xo,yo
2.693869487246519:.2f,0.8,0.25,223,256,all,28.470241337259747,1.1438936251577576,67.0474183492467,2.693869487246519,209.32753514569822,112.0739085168854,111.9244804538637
2.249340560892561:.2f,1.0,0.25,223,256,all,23.772223903747754,0.9551339961327222,55.98358729332596,2.249340560892561,209.50983157437938,112.09094607222653,111.9132622174919
1.9301581691674163:.2f,1.2,0.25,223,256,all,20.3989351211843,0.8196000718332979,48.03949221038903,1.9301581691674163,210.06590979431934,112.09967520937938,111.90548099103279
1.6918082431540375:.2f,1.4,0.25,223,256,all,17.879926702831064,0.7183899121673195,42.10722738516716,1.6918082431540375,210.9181171021513,112.10693116049903,111.89758375988282
1.5081832951339043:.2f,1.5999999999999999,0.25,223,256,all,15.939280873318923,0.6404175350887067,37.53700645666606,1.5081832951339043,211.9041522321567,112.11380799910442,111.89011263889783
1.3633512995965589:.2f,1.7999999999999998,0.25,223,256,all,14.408619538081112,0.5789177492979019,33.93229901218102,1.3633512995965589,212.8366772636456,112.11567113028467,111.8833975756558
1.2466009601912313:.2f,1.9999999999999998,0.25,223,256,all,13.17474003693493,0.5293422336268498,31.02651278698176,1.2466009601912313,213.75567619966125,112.11661791546436,111.87730355517577
1.1512102846553134:.2f,2.1999999999999997,0.25,223,256,all,12.16660079088418,0.48883663891945367,28.652344862532246,1.1512102846553134,214.5172037200026,112.12003458926125,111.86971252454629
1.0713916932495877:.2f,2.3999999999999995,0.25,223,256,all,11.323035588011685,0.45494339416118373,26.665748809767518,1.0713916932495877,215.1842527815827,112.12174192774543,111.86294065547457
1.0041823233992013:.2f,2.5999999999999996,0.25,223,256,all,10.612731325379622,0.4264043836090027,24.99298227126901,1.0041823233992013,215.65558749837194,112.12495224153633,111.8575015430601
0.946685752266744:.2f,2.8,0.25,223,256,all,10.005077070429378,0.40198970372260895,23.561956500861186,0.946685752266744,216.05439220730892,112.12230298670323,111.8524943072776
0.8969420258310532:.2f,2.999999999999999,0.25,223,256,all,9.479358989674731,0.38086710226371684,22.32389042068399,0.8969420258310532,216.2860156292854,112.12394889638156,111.85008336819126
0.8534801756561868:.2f,3.1999999999999993,0.25,223,256,all,9.020031108609853,0.3624119641852173,21.242173260776205,0.8534801756561868,216.4743601919842,112.12662943131116,111.84484392520542
0.8151717157619351:.2f,3.3999999999999995,0.25,223,256,all,8.615166988944255,0.3461451022343674,20.28871825896372,0.8151717157619351,216.50625024812334,112.12715652936856,111.8382014259036
0.7813293009159092:.2f,3.5999999999999996,0.25,223,256,all,8.257502401753417,0.33177465007044976,19.446418156129297,0.7813293009159092,216.42524607036566,112.12740178973456,111.83732030679528
0.7509167650126498:.2f,3.799999999999999,0.25,223,256,all,7.9360865941417105,0.31886062208605087,18.68948392920373,0.7509167650126498,216.38233531254863,112.12927376646095,111.83291113837241
0.7237117931894365:.2f,3.999999999999999,0.25,223,256,all,7.648570024743278,0.3073086170655781,18.01238240827042,0.7237117931894365,216.18631282750525,112.12790814146669,111.82962523864379
0.6991189163388166:.2f,4.199999999999999,0.25,223,256,all,7.388659460245101,0.2968657818848478,17.400293028877215,0.6991189163388166,215.87660837915666,112.12825609234766,111.82690606437022
0.6767283867031347:.2f,4.3999999999999995,0.25,223,256,all,7.152024469049406,0.28735812598859223,16.843017624611353,0.6767283867031347,215.55031742632548,112.12953128958948,111.82592517509114
0.6562500539091803:.2f,4.599999999999999,0.25,223,256,all,6.935598588141373,0.2786624432735373,16.333334675072933,0.6562500539091803,215.15714802592663,112.13005879260635,111.82358531348117
0.6373419223910622:.2f,4.799999999999999,0.25,223,256,all,6.735767427015709,0.27063351269259545,15.862732290621995,0.6373419223910622,214.7487859950061,112.13012849984399,111.81942885274582
