subject,attn,block,object,occluder,rep,x,y
F122,off,1,hare,lower,1,789.5,610
F122,off,1,hare,lower,2,797.700012207031,614.299987792969
F122,off,1,hare,lower,3,807.700012207031,602.5
F122,off,1,hare,lower,4,814.700012207031,600.099975585938
F122,off,1,hare,lower,5,803.799987792969,614.799987792969
F122,off,1,hare,lower,6,797.900024414062,607.5
F122,off,1,hare,lower,7,804.599975585938,608.099975585938
F122,off,1,hare,lower,8,804.099975585938,609.900024414062
F122,off,2,elephant,lower,1,NaN,NaN
F122,off,2,elephant,lower,2,963.700012207031,676.099975585938
F122,off,2,elephant,lower,3,808.799987792969,601.900024414062
F122,off,2,elephant,lower,4,817,605.900024414062
F122,off,2,elephant,lower,5,793.299987792969,600.299987792969
F122,off,2,elephant,lower,6,789.799987792969,599.599975585938
F122,off,2,elephant,lower,7,789.599975585938,604.299987792969
F122,off,2,elephant,lower,8,789.400024414062,606.299987792969
F122,off,3,sportsCar,upper,1,794.299987792969,595.200012207031
F122,off,3,sportsCar,upper,2,798.900024414062,597.200012207031
F122,off,3,sportsCar,upper,3,807.700012207031,592.900024414062
F122,off,3,sportsCar,upper,4,811.599975585938,592.599975585938
F122,off,3,sportsCar,upper,5,810.599975585938,598.200012207031
F122,off,3,sportsCar,upper,6,804.599975585938,612.700012207031
F122,off,3,sportsCar,upper,7,809.599975585938,611.200012207031
F122,off,3,sportsCar,upper,8,798.299987792969,607.099975585938
F122,off,4,lamp,complete,1,800.099975585938,610.799987792969
F122,off,4,lamp,complete,2,798.799987792969,605.200012207031
F122,off,4,lamp,complete,3,798.5,603.5
F122,off,4,lamp,complete,4,809.299987792969,615
F122,off,4,lamp,complete,5,808.400024414062,615.099975585938
F122,off,4,lamp,complete,6,804.700012207031,621.099975585938
F122,off,4,lamp,complete,7,805.200012207031,615.200012207031
F122,off,4,lamp,complete,8,812.400024414062,613.299987792969
F122,off,5,sportsCar,complete,1,795.099975585938,617.099975585938
F122,off,5,sportsCar,complete,2,793.099975585938,613.799987792969
F122,off,5,sportsCar,complete,3,796.5,608.5
F122,off,5,sportsCar,complete,4,797.299987792969,614.700012207031
F122,off,5,sportsCar,complete,5,807.5,611.700012207031
F122,off,5,sportsCar,complete,6,810.099975585938,607.200012207031
F122,off,5,sportsCar,complete,7,814.200012207031,616.5
F122,off,5,sportsCar,complete,8,815.200012207031,614.400024414062
F122,off,6,lamp,upper,1,809.5,597.099975585938
F122,off,6,lamp,upper,2,806.200012207031,605.099975585938
F122,off,6,lamp,upper,3,801.799987792969,605.299987792969
F122,off,6,lamp,upper,4,798.400024414062,606.400024414062
F122,off,6,lamp,upper,5,795.099975585938,606.900024414062
F122,off,6,lamp,upper,6,802,613.200012207031
F122,off,6,lamp,upper,7,797.099975585938,612.799987792969
F122,off,6,lamp,upper,8,794.099975585938,616.599975585938
F122,off,7,lamp,lower,1,800.599975585938,602.5
F122,off,7,lamp,lower,2,806.700012207031,601.299987792969
F122,off,7,lamp,lower,3,803.799987792969,606.299987792969
F122,off,7,lamp,lower,4,800.900024414062,601.599975585938
F122,off,7,lamp,lower,5,809.400024414062,608.200012207031
F122,off,7,lamp,lower,6,806.299987792969,602.700012207031
F122,off,7,lamp,lower,7,797.599975585938,602.700012207031
F122,off,7,lamp,lower,8,790.200012207031,606.400024414062
F122,off,8,bison,upper,1,802,601
F122,off,8,bison,upper,2,802.5,605.599975585938
F122,off,8,bison,upper,3,806.299987792969,603.299987792969
F122,off,8,bison,upper,4,813.099975585938,603.700012207031
F122,off,8,bison,upper,5,806.799987792969,605.599975585938
F122,off,8,bison,upper,6,800,605.5
F122,off,8,bison,upper,7,787.900024414062,606
F122,off,8,bison,upper,8,790.700012207031,605.400024414062
F122,off,9,teapot,lower,1,797.400024414062,597.5
F122,off,9,teapot,lower,2,797.900024414062,600.599975585938
F122,off,9,teapot,lower,3,802.599975585938,602.200012207031
F122,off,9,teapot,lower,4,812.400024414062,603.200012207031
F122,off,9,teapot,lower,5,807.099975585938,606.299987792969
F122,off,9,teapot,lower,6,803.200012207031,612.599975585938
F122,off,9,teapot,lower,7,799.900024414062,606.299987792969
F122,off,9,teapot,lower,8,803.400024414062,616.5
F122,off,10,teapot,upper,1,782.200012207031,600.400024414062
F122,off,10,teapot,upper,2,791.599975585938,607.599975585938
F122,off,10,teapot,upper,3,803.299987792969,606.299987792969
F122,off,10,teapot,upper,4,806.599975585938,607.799987792969
F122,off,10,teapot,upper,5,801.400024414062,612
F122,off,10,teapot,upper,6,797.700012207031,607.299987792969
F122,off,10,teapot,upper,7,793.400024414062,605.900024414062
F122,off,10,teapot,upper,8,797.900024414062,601.700012207031
F122,off,11,bear,complete,1,792.799987792969,600.799987792969
F122,off,11,bear,complete,2,797,595.700012207031
F122,off,11,bear,complete,3,798.5,604.200012207031
F122,off,11,bear,complete,4,796.700012207031,602.599975585938
F122,off,11,bear,complete,5,795.5,594.599975585938
F122,off,11,bear,complete,6,791.5,605.400024414062
F122,off,11,bear,complete,7,803.299987792969,608.5
F122,off,11,bear,complete,8,802.299987792969,608.400024414062
F122,off,12,elephant,upper,1,761,594.700012207031
F122,off,12,elephant,upper,2,763,600.299987792969
F122,off,12,elephant,upper,3,781.400024414062,605.200012207031
F122,off,12,elephant,upper,4,787.5,608.5
F122,off,12,elephant,upper,5,784.299987792969,608.200012207031
F122,off,12,elephant,upper,6,792.700012207031,601.900024414062
F122,off,12,elephant,upper,7,793.099975585938,602.599975585938
F122,off,12,elephant,upper,8,794.299987792969,603.5
F122,off,13,bear,upper,1,789.900024414062,609.5
F122,off,13,bear,upper,2,797.099975585938,613.700012207031
F122,off,13,bear,upper,3,793.900024414062,615.599975585938
F122,off,13,bear,upper,4,794,607.200012207031
F122,off,13,bear,upper,5,793.299987792969,610
F122,off,13,bear,upper,6,800.299987792969,605.5
F122,off,13,bear,upper,7,797.900024414062,608.299987792969
F122,off,13,bear,upper,8,795.099975585938,609.200012207031
F122,off,14,elephant,complete,1,785.299987792969,599.400024414062
F122,off,14,elephant,complete,2,773.700012207031,600.599975585938
